Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EUR,EST,Estonia,Hib3,93,93,94,94,93,94,95,95,95,88,37,27,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ETH,Ethiopia,Hib3,86,77,72,69,65,62,56,52,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,FJI,Fiji,Hib3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,,,,,,,,,,,,,,,,,
EUR,FIN,Finland,Hib3,98,98,98,99,99,99,98,98,97,98,98,96,96,96,96,96,96,96,96,96,94,93,97,97,,,,,,,,,,,,
EUR,FRA,France,Hib3,97,97,98,98,98,97,97,97,97,97,97,97,87,87,86,86,85,79,,,,,,,,,,,,,,,,,,
AFR,GAB,Gabon,Hib3,80,70,79,82,75,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GMB,Gambia (the),Hib3,97,96,97,98,96,97,99,97,94,95,95,93,91,89,87,90,94,97,,,,,,,,,,,,,,,,,,
EUR,GEO,Georgia,Hib3,87,91,96,92,94,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,DEU,Germany,Hib3,94,94,94,94,94,94,94,94,94,93,94,94,93,94,94,94,92,90,88,88,85,82,80,74,60,,,,,,,,,,,
AFR,GHA,Ghana,Hib3,88,98,90,92,91,94,94,93,94,84,84,80,80,80,,,,,,,,,,,,,,,,,,,,,,
EUR,GRC,Greece,Hib3,99,99,94,94,83,83,83,83,83,84,84,85,86,86,87,87,88,71,54,36,19,2,,,,,,,,,,,,,,
AMR,GRD,Grenada,Hib3,92,97,97,97,95,97,99,99,96,91,99,83,97,98,96,33,,,,,,,,,,,,,,,,,,,,
AMR,GTM,Guatemala,Hib3,74,73,85,96,85,94,92,95,85,89,87,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GIN,Guinea,Hib3,51,51,63,62,63,64,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GNB,Guinea-Bissau,Hib3,80,80,80,80,80,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,GUY,Guyana,Hib3,95,98,98,97,93,95,98,93,94,93,93,91,90,91,85,,,,,,,,,,,,,,,,,,,,,
AMR,HTI,Haiti,Hib3,60,48,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,HND,Honduras,Hib3,85,85,87,88,91,95,98,93,94,95,98,94,92,95,96,94,,,,,,,,,,,,,,,,,,,,
EUR,HUN,Hungary,Hib3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,
EUR,ISL,Iceland,Hib3,92,90,91,89,95,96,96,98,97,97,95,99,97,95,92,98,98,99,99,99,99,99,99,99,99,,,,,,,,,,,
SEAR,IND,India,Hib3,45,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,IDN,Indonesia,Hib3,81,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,IRN,Iran (Islamic Republic of),Hib3,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,IRQ,Iraq,Hib3,58,64,68,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,IRL,Ireland,Hib3,95,96,95,95,95,94,93,93,92,91,90,89,86,83,84,85,86,84,76,,,,,,,,,,,,,,,,,
EUR,ISR,Israel,Hib3,94,94,94,94,94,95,96,94,95,94,93,95,93,91,94,93,93,94,92,92,93,92,,,,,,,,,,,,,,
EUR,ITA,Italy,Hib3,93,94,95,96,96,95,96,96,96,96,95,94,90,83,70,55,,,,,,,,,,,,,,,,,,,,
AMR,JAM,Jamaica,Hib3,91,92,93,96,91,94,90,91,91,97,99,98,35,,,,,,,,,,,,,,,,,,,,,,,
WPR,JPN,Japan,Hib3,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,JOR,Jordan,Hib3,99,98,98,98,98,98,98,97,98,98,95,95,97,95,59,,,,,,,,,,,,,,,,,,,,,
EUR,KAZ,Kazakhstan,Hib3,98,95,98,97,95,96,97,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,KEN,Kenya,Hib3,89,92,93,94,96,90,88,88,81,80,76,73,73,84,,,,,,,,,,,,,,,,,,,,,,
WPR,KIR,Kiribati,Hib3,87,75,95,94,95,91,86,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,KWT,Kuwait,Hib3,99,95,99,98,99,98,99,99,99,99,99,98,99,99,99,98,94,94,,,,,,,,,,,,,,,,,,
EUR,KGZ,Kyrgyzstan,Hib3,97,96,97,96,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,LAO,Lao People's Democratic Republic (the),Hib3,89,88,87,79,78,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,LVA,Latvia,Hib3,94,92,94,90,91,90,94,94,94,96,99,98,96,87,84,79,76,47,67,35,58,10,,,,,,,,,,,,,,
EMR,LBN,Lebanon,Hib3,81,81,81,81,81,81,81,81,80,78,77,75,74,,,,,,,,,,,,,,,,,,,,,,,
AFR,LSO,Lesotho,Hib3,93,93,93,95,96,94,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,LBR,Liberia,Hib3,52,50,76,80,77,47,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,LBY,Libya,Hib3,94,94,96,98,98,98,98,98,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,LTU,Lithuania,Hib3,93,93,93,93,92,95,98,96,95,94,61,35,10,5,4,2,2,,,,,,,,,,,,,,,,,,,
EUR,LUX,Luxembourg,Hib3,99,99,99,99,99,99,99,99,99,98,98,98,98,98,96,93,91,88,86,,,,,,,,,,,,,,,,,
AFR,MDG,Madagascar,Hib3,69,73,74,70,73,71,77,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MWI,Malawi,Hib3,88,91,89,96,97,93,93,91,87,99,93,89,84,64,,,,,,,,,,,,,,,,,,,,,,
WPR,MYS,Malaysia,Hib3,99,97,97,99,95,95,95,95,90,89,85,71,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,MDV,Maldives,Hib3,99,99,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MLI,Mali,Hib3,68,77,71,68,66,73,73,74,44,16,3,,,,,,,,,,,,,,,,,,,,,,,,,
