WHO_REGION,ISO_code,Cname,Vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EMR,QAT,Qatar,Hib3,98,99,89,99,92,93,97,99,,94,96,97,96,92,96,93,80,92,94,92,,,,,,,,,,,,,,,,,
WPR,KOR,Republic of Korea (the),Hib3,98,98,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,MDA,Republic of Moldova (the),Hib3,89,87,89,89,90,78,63,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ROU,Romania,Hib3,89,89,,,92,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,RUS,Russian Federation (the),Hib3,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,RWA,Rwanda,Hib3,98,99,98,99,99,97,97,97,97,96,99,95,89,96,88,,,,,,,,,,,,,,,,,,,,,,
AMR,KNA,Saint Kitts and Nevis,Hib3,98,94,98,97,99,98,96,99,97,99,99,99,95,99,95,99,12,,,,,,,,,,,,,,,,,,,,
AMR,LCA,Saint Lucia,Hib3,,99,99,99,98,99,97,95,96,99,85,95,91,84,14,,,,,,,,,,,,,,,,,,,,,,
AMR,VCT,Saint Vincent and the Grenadines,Hib3,99,99,98,99,97,96,99,99,99,99,99,99,99,27,27,,,,,,,,,,,,,,,,,,,,,,
WPR,WSM,Samoa,Hib3,90,94,91,95,99,91,87,72,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,SMR,San Marino,Hib3,65,,79,69,96,85,78,92,87,92,95,94,98,96,,,92,95,,,,,,,,65,,,,,,,,,,,
AFR,STP,Sao Tome and Principe,Hib3,96,96,95,97,96,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,SAU,Saudi Arabia,Hib3,98,98,98,98,98,98,98,98,98,96,96,96,96,95,95,,96,,,,,,,,,,,,,,,,,,,,
AFR,SEN,Senegal,Hib3,93,89,89,92,83,83,70,86,88,94,89,36,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,SRB,Serbia,Hib3,92,95,94,92,90,93,91,94,98,89,42,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,SYC,Seychelles,Hib3,96,97,99,98,98,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,SLE,Sierra Leone,Hib3,84,86,83,92,91,76,76,91,87,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,SGP,Singapore,Hib3,,96,85,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,SVK,Slovakia,Hib3,96,96,97,98,99,99,99,99,99,99,99,99,99,99,92,70,,,36,30,3,,,,,,,,,,,,,,,,
EUR,SVN,Slovenia,Hib3,,95,95,95,96,96,96,96,97,97,97,95,94,95,93,93,,,,,,,,,,,,,,,,,,,,,
WPR,SLB,Solomon Islands,Hib3,94,87,77,83,90,88,79,81,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,SOM,Somalia,Hib3,,,65,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ZAF,South Africa,Hib3,84,93,95,91,83,87,91,12,98,97,99,97,89,94,76,78,88,,,,,,,,,,,,,,,,,,,,
AFR,SSD,South Sudan,Hib3,45,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ESP,Spain,Hib3,97,97,97,96,97,97,97,96,97,96,98,96,97,98,97,96,92,82,82,,,,,,,,,,,,,,,,,,
SEAR,LKA,Sri Lanka,Hib3,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,SDN,Sudan (the),Hib3,93,93,94,93,92,93,95,91,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,SUR,Suriname,Hib3,91,89,85,86,84,86,86,87,84,84,84,83,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,SWZ,Swaziland,Hib3,90,90,98,98,95,91,89,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,SWE,Sweden,Hib3,98,98,98,98,98,98,98,98,98,98,98,98,99,99,98,98,98,98,99,99,99,99,99,99,90,55,,,,,,,,,,,
EUR,CHE,Switzerland,Hib3,,97,95,95,95,95,95,95,95,93,93,93,91,91,91,91,91,91,77,,,,,,,,,,,,,,,,,,
EMR,SYR,Syrian Arab Republic (the),Hib3,61,60,62,60,64,91,99,,98,99,99,99,99,99,99,95,,,,,,,,,,,,,,,,,,,,,
EUR,TJK,Tajikistan,Hib3,97,96,97,96,94,96,93,93,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,MKD,The former Yugoslav Republic of Macedonia,Hib3,,89,94,97,95,96,89,82,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,TLS,Timor-Leste,Hib3,95,90,77,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,TGO,Togo,Hib3,89,88,87,84,84,92,92,89,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,TON,Tonga,Hib3,96,96,95,99,95,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,TTO,Trinidad and Tobago,Hib3,97,90,92,92,92,90,90,90,90,88,89,95,94,92,59,85,74,49,8,,,,,,,,,,,,,,,,,,
EMR,TUN,Tunisia,Hib3,98,98,98,98,97,43,,,,,,80,97,96,,,,,,,,,,,,,,,,,,,,,,,
EUR,TUR,Turkey,Hib3,,97,96,98,97,97,97,96,96,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,TKM,Turkmenistan,Hib3,98,99,97,97,97,71,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,TUV,Tuvalu,Hib3,94,96,89,90,97,96,89,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,UGA,Uganda,Hib3,93,89,99,97,78,82,80,83,79,85,80,84,87,63,42,,,,,,,,,,,,,,,,,,,,,,
EUR,UKR,Ukraine,Hib3,47,38,,,83,26,51,,81,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,ARE,United Arab Emirates (the),Hib3,99,99,99,99,99,,94,,92,92,92,94,94,94,94,92,92,94,,,,,,,,,,,,,,,,,,,
EUR,GBR,United Kingdom of Great Britain and Northern Ireland (the),Hib3,94,96,95,95,95,95,94,93,92,92,92,91,92,91,91,91,91,92,91,92,95,,93,89,,,,,,,,,,,,,
AFR,TZA,United Republic of Tanzania,Hib3,97,98,97,91,92,92,91,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,USA,United States of America (the),Hib3,93,93,93,93,93,94,88,84,91,93,93,94,94,94,93,93,93,94,93,93,91,91,,,,,,,,,,,,,,,
AMR,URY,Uruguay,Hib3,,95,95,95,95,95,95,95,94,94,95,96,94,91,95,90,88,93,75,84,,,,,,,,,,,,,,,,,
EUR,UZB,Uzbekistan,Hib3,99,99,99,99,99,99,99,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,VUT,Vanuatu,Hib3,81,80,86,75,95,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,VEN,Venezuela (Bolivarian Republic of),Hib3,84,87,78,82,81,78,78,84,51,62,71,87,60,54,59,34,2,,,,,,,,,,,,,,,,,,,,
WPR,VNM,Viet Nam,Hib3,96,97,95,59,97,95,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,YEM,Yemen,Hib3,86,84,88,88,82,81,87,86,87,87,85,55,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ZMB,Zambia,Hib3,99,90,86,79,78,81,84,98,95,92,97,91,94,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ZWE,Zimbabwe,Hib3,90,96,91,,95,93,89,73,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
