WHO_REGION,ISO_code,Cname,Vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AMR,BRA,Brazil,HepB3,86,96,96,99,96,98,96,99,96,99,99,98,96,97,92,91,94,84,13,6,15,10,4,,,,,,,,,,,,,,
WPR,BRN,Brunei Darussalam,HepB3,99,99,99,98,99,93,96,99,96,99,99,99,99,99,99,99,99,93,99,98,,,,99,96,,96,,,,,,,,,,
EUR,BGR,Bulgaria,HepB3,91,92,95,95,95,96,95,96,96,95,96,96,94,96,88,93,94,97,97,77,94,95,94,96,71,92,,,,,,,,,,,
AFR,BFA,Burkina Faso,HepB3,91,91,91,88,90,99,99,99,99,99,76,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,BDI,Burundi,HepB3,94,94,95,96,96,99,96,99,92,99,92,87,83,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CPV,Cabo Verde,HepB3,,93,95,93,94,90,98,73,82,79,69,69,68,59,40,,,,,,,,,,,,,,,,,,,,,,
WPR,KHM,Cambodia,HepB3,99,98,97,92,95,94,92,,91,82,80,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CMR,Cameroon,HepB3,85,84,87,89,85,82,84,80,84,82,81,79,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,CAN,Canada,HepB3,,55,,55,70,70,,17,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CAF,Central African Republic (the),HepB3,54,47,45,28,58,64,58,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,TCD,Chad,HepB3,78,92,83,80,72,70,83,75,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,CHL,Chile,HepB3,95,96,95,90,90,94,92,94,95,92,95,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,CHN,China,HepB3,99,99,99,99,99,99,99,99,95,92,91,84,90,97,96,65,60,,,,,,,,,,,,,,,,,,,,
AMR,COL,Colombia,HepB3,91,91,90,91,92,85,88,92,92,93,93,93,89,92,78,80,78,77,75,85,95,71,,,,,,,,,,,,,,,
AFR,COM,Comoros (the),HepB3,91,80,80,83,86,83,74,83,81,75,69,68,77,28,,,,,,,,,,,,,,,,,,,,,,,
AFR,COG,Congo (the),HepB3,73,80,90,85,85,90,90,91,89,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,COK,Cook Islands,HepB3,99,99,99,98,98,93,99,82,99,99,99,99,99,93,93,93,98,90,88,99,65,86,79,76,98,,71,,,,,,,,,,
AMR,CRI,Costa Rica,HepB3,97,92,91,94,91,84,89,87,88,89,88,90,89,86,94,80,89,83,86,76,,,,,,,,,,,,,,,,,
AFR,CIV,Côte d'Ivoire,HepB3,96,91,87,99,94,62,85,81,74,76,77,56,50,48,48,10,,,,,,,,,,,,,,,,,,,,,
