Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFR,BFA,Burkina Faso,MCV2,50,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,BDI,Burundi,MCV2,65,60,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CPV,Cabo Verde,MCV2,95,79,89,94,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,KHM,Cambodia,MCV2,58,59,49,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CMR,Cameroon,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,CAN,Canada,MCV2,94,94,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CAF,Central African Republic (the),MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,TCD,Chad,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,CHL,Chile,MCV2,89,88,78,74,77,84,89,89,95,95,96,96,,,,,,,,,,,,,,,,,,,,,,,,
WPR,CHN,China,MCV2,99,99,99,99,99,99,98,95,92,94,84,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,COL,Colombia,MCV2,86,88,72,80,76,74,71,70,93,85,73,70,70,93,83,84,,,,,,,,,,,,,,,,,,,,
AFR,COM,Comoros (the),MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,COG,Congo (the),MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,COK,Cook Islands,MCV2,95,98,95,98,96,98,61,95,98,99,97,86,88,61,50,70,,,,,,,,,,,,,,,,,,,,
AMR,CRI,Costa Rica,MCV2,90,90,92,95,80,79,84,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CIV,Côte d'Ivoire,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,HRV,Croatia,MCV2,96,97,97,97,98,98,98,98,98,98,98,98,98,98,98,,,,,,,,,,,,,,,,,,,,,
AMR,CUB,Cuba,MCV2,95,95,95,95,95,98,95,98,99,97,53,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,CYP,Cyprus,MCV2,88,88,88,88,88,88,88,89,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,CZE,Czech Republic (the),MCV2,99,99,99,99,98,98,98,98,98,98,98,98,98,98,98,98,,,,,,,,,,,,,,,,,,,,
SEAR,PRK,Democratic People's Republic of Korea (the),MCV2,97,99,99,99,99,99,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,COD,Democratic Republic of the Congo (the),MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,DNK,Denmark,MCV2,80,84,86,87,86,85,85,87,88,91,91,88,88,92,87,,,,,,,,,,,,,,,,,,,,,
EMR,DJI,Djibouti,MCV2,82,82,82,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,DMA,Dominica,MCV2,94,89,91,94,94,95,95,95,95,99,99,99,99,99,62,,,,,,,,,,,,,,,,,,,,,
AMR,DOM,Dominican Republic (the),MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,ECU,Ecuador,MCV2,76,59,70,81,92,91,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,EGY,Egypt,MCV2,92,93,96,92,97,97,96,96,97,97,97,96,97,96,99,97,,,,,,,,,,,,,,,,,,,,
AMR,SLV,El Salvador,MCV2,88,85,85,95,81,78,82,79,86,89,85,80,77,,,,,,,,,,,,,,,,,,,,,,,
AFR,GNQ,Equatorial Guinea,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ERI,Eritrea,MCV2,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,EST,Estonia,MCV2,92,93,92,94,95,95,96,97,96,98,98,97,96,94,84,89,,,,,,,,,,,,,,,,,,,,
AFR,ETH,Ethiopia,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,FJI,Fiji,MCV2,94,94,94,94,94,94,94,94,94,94,74,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,FIN,Finland,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,FRA,France,MCV2,77,77,67,72,67,70,72,75,78,81,83,86,86,,,,,,,,,,,,,,,,,,,,,,,
AFR,GAB,Gabon,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GMB,Gambia (the),MCV2,77,73,53,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,GEO,Georgia,MCV2,91,87,89,79,77,84,71,87,92,88,87,75,57,40,8,,,,,,,,,,,,,,,,,,,,,
EUR,DEU,Germany,MCV2,93,93,93,93,93,93,93,92,92,90,91,89,83,77,,,,,,,,,,,,,,,,,,,,,,
AFR,GHA,Ghana,MCV2,63,67,54,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,GRC,Greece,MCV2,83,83,83,83,77,77,77,77,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,GRD,Grenada,MCV2,89,92,85,75,85,86,78,86,86,87,81,61,68,74,,,,,,,,,,,,,,,,,,,,,,
AMR,GTM,Guatemala,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GIN,Guinea,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GNB,Guinea-Bissau,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,GUY,Guyana,MCV2,95,91,95,90,84,82,84,84,90,74,72,63,71,80,88,,,,,,,,,,,,,,,,,,,,,
AMR,HTI,Haiti,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,HND,Honduras,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,HUN,Hungary,MCV2,99,99,99,99,99,96,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
EUR,ISL,Iceland,MCV2,94,93,94,97,90,92,93,94,95,93,90,89,92,,,,,,,,,,,,,,,,,,,,,,,
SEAR,IND,India,MCV2,69,60,51,36,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,IDN,Indonesia,MCV2,76,76,76,78,76,74,67,66,73,50,23,29,21,,,,,,,,,,,,,,,,,,,,,,,
EMR,IRN,Iran (Islamic Republic of),MCV2,98,98,97,97,99,99,99,96,97,98,92,99,96,96,94,99,,,,,,,,,,,,,,,,,,,,
EMR,IRQ,Iraq,MCV2,62,60,57,68,77,77,87,76,64,52,58,41,45,48,52,,,,,,,,,,,,,,,,,,,,,
EUR,IRL,Ireland,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
