Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
WPR,FSM,Micronesia (Federated States of),HepB3,78,81,83,82,83,88,89,89,90,84,91,80,89,85,81,87,77,79,78,80,82,82,82,73,65,56,47,,,,,,,,,
EUR,MCO,Monaco,HepB3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,
WPR,MNG,Mongolia,HepB3,99,99,98,99,99,96,97,96,98,98,98,98,98,98,95,93,92,91,88,93,88,67,69,47,18,,,,,,,,,,,
EUR,MNE,Montenegro,HepB3,82,87,90,90,91,90,87,93,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,MAR,Morocco,HepB3,99,99,99,99,98,98,98,97,95,95,96,95,90,92,84,43,10,,,,,,,,,,,,,,,,,,,
AFR,MOZ,Mozambique,HepB3,80,79,78,76,76,74,74,75,75,75,75,76,76,76,25,,,,,,,,,,,,,,,,,,,,,
SEAR,MMR,Myanmar,HepB3,75,75,75,58,40,92,91,85,85,75,62,39,8,,,,,,,,,,,,,,,,,,,,,,,
AFR,NAM,Namibia,HepB3,92,88,89,84,82,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,NRU,Nauru,HepB3,91,95,87,79,99,99,99,99,99,99,80,78,77,75,95,58,62,29,86,72,57,79,99,90,79,,,,,,,,,,,
SEAR,NPL,Nepal,HepB3,91,92,92,90,92,82,89,82,82,69,41,27,2,,,,,,,,,,,,,,,,,,,,,,,
EUR,NLD,Netherlands (the),HepB3,94,92,51,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,NZL,New Zealand,HepB3,92,93,93,93,95,90,93,90,88,87,87,88,89,89,90,90,89,87,99,94,88,81,74,67,,,,,,,,,,,,
AMR,NIC,Nicaragua,HepB3,98,98,98,98,98,98,98,97,93,88,86,79,86,85,87,83,80,,,,,,,,,,,,,,,,,,,
AFR,NER,Niger (the),HepB3,65,68,67,71,75,70,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,NGA,Nigeria,HepB3,56,49,45,42,46,49,63,41,42,27,18,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,NIU,Niue,HepB3,99,99,99,98,98,99,99,99,98,99,85,99,94,98,99,99,99,99,99,99,90,99,99,99,99,,,,,,,,,,,
EUR,NOR,Norway,HepB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,OMN,Oman,HepB3,99,98,97,97,99,98,97,98,99,98,98,98,99,99,99,99,99,98,99,99,99,99,96,99,94,,,,,,,,,,,
EMR,PAK,Pakistan,HepB3,72,72,72,72,74,82,78,65,75,78,70,65,63,,,,,,,,,,,,,,,,,,,,,,,
WPR,PLW,Palau,HepB3,90,99,99,89,91,80,69,92,91,98,98,98,99,99,98,96,96,96,90,99,99,73,94,75,89,,,,,,,,,,,
AMR,PAN,Panama,HepB3,73,80,80,85,87,94,85,86,85,88,92,95,98,98,98,,,,,,,,,,,,,,,,,,,,,
WPR,PNG,Papua New Guinea,HepB3,62,62,68,63,61,56,62,56,59,70,63,60,67,60,59,57,54,47,44,43,23,20,7,12,19,20,,,,,,,,,,
AMR,PRY,Paraguay,HepB3,93,87,86,87,89,89,85,87,86,92,92,90,86,,,,,,,,,,,,,,,,,,,,,,,
AMR,PER,Peru,HepB3,90,88,88,95,91,93,93,93,93,94,94,92,65,,,,,,,,,,,,,,,,,,,,,,,
WPR,PHL,Philippines (the),HepB3,60,79,94,70,76,77,85,88,87,77,49,48,52,42,45,7,32,30,31,35,38,,,,,,,,,,,,,,,
EUR,POL,Poland,HepB3,96,96,96,97,98,98,98,98,98,98,98,98,97,98,95,99,99,99,97,56,23,4,1,1,1,,,,,,,,,,,
EUR,PRT,Portugal,HepB3,98,98,98,98,97,97,96,97,97,97,94,94,94,82,70,58,61,64,49,34,6,,,,,,,,,,,,,,,
EMR,QAT,Qatar,HepB3,99,89,99,92,93,97,99,97,94,96,97,97,93,98,93,89,92,92,90,90,90,90,93,89,86,,,,,,,,,,,
WPR,KOR,Republic of Korea (the),HepB3,98,99,99,99,99,94,94,94,91,99,99,92,91,92,89,93,88,82,88,93,99,,,,,,,,,,,,,,,
EUR,MDA,Republic of Moldova (the),HepB3,88,92,91,94,96,98,89,97,95,98,99,99,99,99,94,92,94,93,87,81,19,,,,,,,,,,,,,,,
EUR,ROU,Romania,HepB3,90,94,96,96,96,98,95,97,99,99,98,99,98,99,98,98,99,99,99,99,,,,,,,,,,,,,,,,
EUR,RUS,Russian Federation (the),HepB3,97,97,97,97,97,97,98,98,98,98,97,96,94,81,43,,,,,,,,,,,,,,,,,,,,,
AFR,RWA,Rwanda,HepB3,98,98,98,98,97,97,97,97,97,99,95,89,96,88,,,,,,,,,,,,,,,,,,,,,,
AMR,KNA,Saint Kitts and Nevis,HepB3,94,98,97,98,98,96,97,98,99,99,99,96,99,96,99,99,99,99,,,,,,,,,,,,,,,,,,
AMR,LCA,Saint Lucia,HepB3,99,99,99,98,99,97,95,96,99,85,95,91,84,14,,,,,,,,,,,,,,,,,,,,,,
AMR,VCT,Saint Vincent and the Grenadines,HepB3,98,98,97,96,96,99,99,99,99,99,99,99,31,,,,,,,,,,,,,,,,,,,,,,,
WPR,WSM,Samoa,HepB3,59,56,60,64,58,57,44,12,46,35,41,54,83,86,89,89,94,97,99,98,96,94,1,18,,,,,,,,,,,,
EUR,SMR,San Marino,HepB3,75,80,69,96,86,78,92,87,92,95,95,97,96,95,95,94,97,,97,98,98,98,98,99,99,,,,,,,,,,,
AFR,STP,Sao Tome and Principe,HepB3,96,95,97,96,96,98,98,99,87,75,96,70,43,,,,,,,,,,,,,,,,,,,,,,,
EMR,SAU,Saudi Arabia,HepB3,98,98,98,98,98,98,98,98,96,96,97,96,95,97,95,93,92,95,91,92,93,94,93,89,86,66,,,,,,,,,,
AFR,SEN,Senegal,HepB3,89,89,92,91,92,89,86,88,94,89,84,54,,,,,,,,,,,,,,,,,,,,,,,,
EUR,SRB,Serbia,HepB3,94,92,91,97,94,89,93,93,99,93,65,89,,,,,,,,,,,,,,,,,,,,,,,,
AFR,SYC,Seychelles,HepB3,98,99,99,99,99,99,99,99,99,99,99,99,99,99,96,98,99,97,97,98,99,,,,,,,,,,,,,,,
AFR,SLE,Sierra Leone,HepB3,86,83,92,91,89,86,84,77,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,SGP,Singapore,HepB3,96,96,97,97,96,96,97,96,95,94,96,94,95,95,95,97,96,96,97,96,96,94,90,78,76,74,,,,,,,,,,
EUR,SVK,Slovakia,HepB3,96,97,98,99,99,99,99,99,99,99,99,99,99,99,99,98,,,,,,,,,,,,,,,,,,,,
EUR,SVN,Slovenia,HepB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,SLB,Solomon Islands,HepB3,98,88,94,99,99,90,92,89,90,99,83,81,79,75,83,81,79,75,73,97,68,65,53,,,,,,,,,,,,,
EMR,SOM,Somalia,HepB3,42,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ZAF,South Africa,HepB3,71,74,65,73,76,74,70,65,74,76,74,66,71,72,72,73,73,74,74,,,,,,,,,,,,,,,,,
AFR,SSD,South Sudan,HepB3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ESP,Spain,HepB3,97,96,95,96,97,97,96,97,96,97,96,97,81,82,83,77,80,81,84,82,,,,,,,,,,,,,,,,
SEAR,LKA,Sri Lanka,HepB3,99,99,99,99,99,99,97,98,98,98,99,62,32,,,,,,,,,,,,,,,,,,,,,,,
EMR,SDN,Sudan (the),HepB3,93,94,93,92,93,75,72,78,78,60,22,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,SUR,Suriname,HepB3,89,85,86,84,86,86,87,84,84,84,83,,,,,,,,,,,,,,,,,,,,,,,,,
